Issue,Sub-issue,Consumer complaint narrative
Getting a credit card,Application denied,"I completed one of the many offers that Wells Fargo has repeatedly solicited. Aware of XXXX XXXX troubling history of discriminatory practices and credit denials, I included a letter with my application outlining specific expectations and lawful requests for transparency. I clearly stated that I would file a formal complaint if my requests were not addressed. 

On XX/XX/year>, I mailed my application for the Wells Fargo Reflect Visa Card along with this letter, using mail tracking number XXXX. On XX/XX/year>, I received a letter from Wells Fargo dated XX/XX/year>, denying my application with the vague explanation : "" We no longer offer credit on the terms for which you applied. '' This explanation completely failed to address my lawful request for a detailed breakdown of the factors, criteria, and data used in their decision. I requested this information to ensure compliance with the Fair Credit Reporting Act ( FCRA ), Truth in Lending Act ( TILA ), and Uniform Commercial Code ( UCC ), including confirmation of good faith and consistency in evaluating my application. 

Despite my efforts to resolve the issue directly with Wells Fargo, they have refused to provide the requested information or reassess my application. Their lack of transparency and failure to comply with these laws have caused me financial Injury due to higher-cost financing options, reputational injury with other financial institutions and emotional Distress, including anxiety and frustration."
Fees or interest,Problem with fees,
Closing your account,Can't close your account,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"I applied for a credit card at Capital One, called SAVOR. On the website, they said there's a welcome XXXX $ bonus after spending XXXX $ during the first 3 months. So I followed the link, pre-approved, submitted all the documents. Then they said I've approved and mailed me the credit card. 

But it turns out that, they gave me the different tier but same product ( Good Credit tier of credit card instead of Excellent tier ) which doesn't has the welcome bonus. They didn't inform or notice me through phone call, mail or e-mail 'AT ALL '. If I would have known that before, I wouldn't accept the credit card. 

Now I've already used their credit card and would like to report a scam or misleading information just to sell their product."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"On XX/XX/year>, I purchased a product described by XXXX  XXXX as a hand-carved natural seashell ( USD {$25000.00} ). 
On XX/XX/year>, I reviewed the shipping document and discovered the item was described as Molded and carved art deco, which is entirely different from what I had been promised. 
I canceled the purchase on XX/XX/year>, via email, and refused delivery of the package on XX/XX/year>, as the product was misrepresented."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,Today XX/XX/year> at XXXX XXXX  I wanted to upgrade my Credit card to the higher tier Amex. I called in and spoke with XXXX. He informed me it would be XXXX miles to upgrade. I mentioned its XXXX miles if I open a new card. He said I could do that easily. However he then informed me I might not be eligible because I already have an Amex and the only way to know would be to apply. So I applied then mentioned I still do not know if I will get the bonus and I don't want to accept the new card as it carries a hefty fee. He went to get XXXX another worker. She then mentioned I would need to accept the card and actually open an account in order to see if I qualify for the points. I do not think this is right they kept dangling the carrot of points in front of me and can't even confrim that I would get them if I opened the account and kept telling me to accept the card and then I would know. So if I didn't get the card I would be on the hook for a hefty fee and a credit hit for nothing. feels bad and shady.
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"On XX/XX/XXXX, I pre purchased a rental from XXXX for XXXX weeks. However on, XX/XX/XXXX I called XXXX XXXX XXXX and inquired that I did not need this car for this entire time period. I was instructed by XXXX to bring the car in and I would only be charged for the amount I used the car which was {$210.00}. I noticed that on my credit card statement it was still showing I was charged the full amount of {$400.00}. I opened my dispute with CITI on XX/XX/XXXX, where I was provided a conditional credit and they requested additional documents that I did not submit in time and closed my dispute and reversed my conditional credit on XX/XX/XXXX. When I called CITI on XX/XX/XXXX the representative informed me that she will reopen my dispute and for me to submit the documents needed to which I submitted the documents requested on XX/XX/XXXX. In the app it was showing that my dispute was still being processed. On XX/XX/XXXX when I called CITI about the status of my dispute as I have not heard from them they said on XX/XX/XXXX I was emailed a letter stating I was not overcharged and they closed the dispute without notifying me only that they sent an email. It should be noted that this whole time there dispute center in the app was still showing this claim was still in progress and no mention that it was closed or that a decision was made. Further, I submitted my receipts to CITI to show how much I was supposed to be charge and they can see in my account how much XXXX had charged me to and informed them I was not overcharged for my rental vehicle and I asked how they came to that decision, they could not provide an answer to me only that I missed the deadline to inquire anymore about this dispute and that I would need to settle it with the merchant and offered me a {$20.00} credit as a show of good faith. I was still overcharged for my purchase and CITI is not doing anything to rectify the situation."
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,
